2023-09-24 17:58:26,469.bbq_producer.INFO ==================================================
2023-09-24 17:58:26,470.bbq_producer.INFO Today is 2023-09-24 at 05:58 PM
2023-09-24 17:58:26,498.bbq_producer.INFO Running on: nt Windows 10
2023-09-24 17:58:26,541.bbq_producer.INFO Python version:  3.10.9
2023-09-24 17:58:26,548.bbq_producer.INFO Python path: C:\Users\amaar\anaconda3
2023-09-24 17:58:26,565.bbq_producer.INFO Working dir: C:\Users\amaar\OneDrive\Desktop\NW\Data Streaming\streaming-05-smart-smoker-1
2023-09-24 17:58:26,577.bbq_producer.INFO ==================================================
2023-09-24 17:58:36,447.bbq_producer.INFO Seeing if you want to monitor RabbitMQ queues
2023-09-24 17:58:36,850.bbq_producer.INFO Answer is y.
2023-09-24 17:58:37,254.bbq_producer.INFO Skipping header row
2023-09-24 17:58:37,255.bbq_producer.INFO  [x] Sent ('5/22/2021 12:20', '84.2') to 01-smoker
2023-09-24 17:58:37,259.bbq_producer.INFO  [x] Sent ('5/22/2021 12:20', '') to 02-food-A
2023-09-24 17:58:37,261.bbq_producer.INFO  [x] Sent ('5/22/2021 12:20', '') to 02-food-B
2023-09-24 17:59:07,272.bbq_producer.INFO  [x] Sent ('5/22/2021 12:20', '84.2') to 01-smoker
2023-09-24 17:59:07,273.bbq_producer.INFO  [x] Sent ('5/22/2021 12:20', '') to 02-food-A
2023-09-24 17:59:07,274.bbq_producer.INFO  [x] Sent ('5/22/2021 12:20', '') to 02-food-B
2023-09-24 17:59:37,309.bbq_producer.INFO  [x] Sent ('5/22/2021 12:21', '87.6') to 01-smoker
2023-09-24 17:59:37,344.bbq_producer.INFO  [x] Sent ('5/22/2021 12:21', '') to 02-food-A
2023-09-24 17:59:37,375.bbq_producer.INFO  [x] Sent ('5/22/2021 12:21', '') to 02-food-B
2023-09-24 18:00:07,408.bbq_producer.INFO  [x] Sent ('5/22/2021 12:21', '87.6') to 01-smoker
2023-09-24 18:00:07,448.bbq_producer.INFO  [x] Sent ('5/22/2021 12:21', '') to 02-food-A
2023-09-24 18:00:07,456.bbq_producer.INFO  [x] Sent ('5/22/2021 12:21', '') to 02-food-B
